Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Calcium Ion Import (GO:0070509),4/12,5.898141397601527e-06,0.0073018990502306,0,0,47.09047619047619,567.0104562235646,CACNB2;TRPC4;TRPV4;CACNA1D
GO_Biological_Process_2023,Generation Of Neurons (GO:0048699),10/172,1.6909473464310215e-05,0.0098453658432698,0,0,5.938029532800774,65.24491022906206,PTPRD;GPM6A;EMX1;MEF2C;MYT1L;FUT9;DCC;LRP4;MAPT;WNT3
GO_Biological_Process_2023,Calcium Ion Transmembrane Transport (GO:0070588),7/80,2.385791399823059e-05,0.0098453658432698,0,0,9.13182449870955,97.19361130061638,GRIN2A;TRPC4;TRPV4;ATP2A2;CACNA1D;CACNA1C;NALCN
SynGO_2022,Integral Component Of Postsynaptic Density Membrane (GO:0099061) CC,6/82,0.0002490232976033473,0.0102099552017372,0,0,7.481022267206478,62.07725421359002,GRIN2A;DCC;ADGRB3;SORCS3;GRM1;LRRC4B
GO_Molecular_Function_2023,Calcium Channel Activity (GO:0005262),7/91,5.504559401266919e-05,0.0104522750162602,0,0,7.931561996779388,77.78759450854297,CACNB2;CACNA1I;TRPC4;TRPV4;CACNA2D2;CACNA1D;CACNA1C
GO_Molecular_Function_2023,Voltage-Gated Calcium Channel Activity (GO:0005245),5/47,0.00014243481419560095,0.0104522750162602,0,0,11.246297562087037,99.60425259723054,CACNA1I;CACNB2;CACNA2D2;CACNA1D;CACNA1C
GO_Molecular_Function_2023,High Voltage-Gated Calcium Channel Activity (GO:0008331),4/23,9.619898144048692e-05,0.0104522750162602,0,0,19.81654135338346,183.2850099037969,CACNA1I;CACNB2;CACNA1D;CACNA1C
GO_Molecular_Function_2023,Voltage-Gated Monoatomic Cation Channel Activity (GO:0022843),6/76,0.00016395725515702388,0.0104522750162602,0,0,8.124725274725275,70.81433204827397,KCNG2;CACNB2;CACNA1I;CACNA2D2;CACNA1D;CACNA1C
KEGG_2021_Human,GnRH secretion,6/64,6.254167130665615e-05,0.0120080008908779,0,0,9.811671087533156,94.97381169157704,CACNA1I;GABBR2;TRPC4;AKT3;CACNA1D;CACNA1C
KEGG_2021_Human,Arrhythmogenic right ventricular cardiomyopathy,6/77,0.00017624470917566298,0.0169194920808636,0,0,8.009886240520043,69.23455016036202,CACNB2;SGCD;ATP2A2;CACNA2D2;CACNA1D;CACNA1C
SynGO_2022,Synaptic Vesicle (GO:0008021) CC,3/18,0.0008753991629806594,0.0179456828411035,0,0,18.740284360189573,131.9471673766094,EXOC4;VPS45;DGKI
KEGG_2021_Human,Hypertrophic cardiomyopathy,6/90,0.0004125396706289455,0.0264025389202525,0,0,6.765796703296704,52.72705927628219,CACNB2;SGCD;ATP2A2;CACNA2D2;CACNA1D;CACNA1C
KEGG_2021_Human,Dilated cardiomyopathy,6/96,0.0005825506499676491,0.0279624311984471,0,0,6.312820512820513,47.01848325853946,CACNB2;SGCD;ATP2A2;CACNA2D2;CACNA1D;CACNA1C
SynGO_2022,Synapse Adhesion Between Pre- And Post-Synapse (GO:0099560) BP,3/31,0.0043537951383443,0.0357011201344237,0,0,10.03283683141503,54.545597929762906,PTPRD;EFNA5;LRRC4B
SynGO_2022,Regulation Of Synapse Disassembly (GO:1905806) BP,2/8,0.0030581879027475,0.0357011201344237,0,0,31.10062893081761,180.07054927916843,ADGRB3;NGEF
SynGO_2022,Voltage-Gated Calcium Channel Activity Involved In Regulation Of Presynaptic Cytosolic Calcium Levels (GO:0099626) BP,2/9,0.0039043148858897,0.0357011201344237,0,0,26.65633423180593,147.82731186708682,CACNB2;CACNA1D
Reactome_2022,"Adrenaline,noradrenaline Inhibits Insulin Secretion R-HSA-400042",4/28,0.00021330974021087088,0.0392489921988002,0,0,15.684126984126983,132.5742438484616,CACNB2;CACNA2D2;CACNA1D;CACNA1C
Reactome_2022,Regulation Of Insulin Secretion R-HSA-422356,6/77,0.00017624470917566298,0.0392489921988002,0,0,8.009886240520043,69.23455016036202,KCNG2;CACNB2;KCNB1;CACNA2D2;CACNA1D;CACNA1C
Reactome_2022,Stimuli-sensing Channels R-HSA-2672351,7/100,0.00010038524151194172,0.0392489921988002,0,0,7.160718923692276,65.92512553381405,TTYH3;TRPC4;TRPV4;CLCN3;NALCN;SLC17A3;ASIC1
GO_Molecular_Function_2023,Calcium Ion Transmembrane Transporter Activity (GO:0015085),5/68,0.0008072098420273014,0.0411677019433923,0,0,7.489557226399332,53.340079051324494,CACNB2;TRPC4;TRPV4;ATP2A2;CACNA1D
